,コード,株数,純資産比率
324,9364,3068500.0,0.000423526829384
325,5929,5705200.0,0.0004233015316484
326,4587,3211000.0,0.0004215368471953
327,4186,944300.0,0.0004210859269617
328,7649,1203200.0,0.0004193093512049
329,4202,8442000.0,0.0004181008599972
330,2809,3046900.0,0.0004167396679624
331,4666,3574600.0,0.00041502032535
332,2810,2169400.0,0.0004118847809324
333,4401,2628700.0,0.0004107625641306
334,3774,1599300.0,0.0004105199665468
335,7164,1439300.0,0.0004103501844616
336,6966,574900.0,0.0004089578589454
337,2229,2798900.0,0.0004064179351893
338,6754,3941400.0,0.0004044367403242
339,5631,1742700.0,0.0004005280862963
340,1944,4157700.0,0.0003993668480316
341,5021,1986100.0,0.0003981701232189
342,2651,1333900.0,0.0003973783272741
343,4676,5636300.0,0.0003949566982569
344,6728,1219000.0,0.0003928402085855
345,5214,2395200.0,0.0003923761479617
346,2871,2630900.0,0.0003918819406348
347,9404,5012100.0,0.0003906581043992
348,5406,11044800.0,0.0003897344798631
349,4921,2476500.0,0.0003866703457219
350,8056,1875100.0,0.0003864567519271
351,2175,1986800.0,0.0003840407687809
352,1414,1114100.0,0.0003813003978655
353,2579,4180500.0,0.000381191852247
354,6770,5277400.0,0.0003806839112138
355,1951,2811300.0,0.0003804771936402
356,5110,5331200.0,0.0003749090219986
357,7476,864700.0,0.0003742494918254
358,8876,3197700.0,0.0003736577808048
359,2206,1604400.0,0.0003727504006389
360,4631,2410500.0,0.0003726017281159
361,4902,13052600.0,0.0003700968662184
362,4540,1847300.0,0.0003686131450415
363,9044,2531700.0,0.0003673025784835
364,9065,1486300.0,0.0003671262949029
365,6406,2087400.0,0.0003667228212208
366,6134,2663900.0,0.0003630238763286
367,2264,1104900.0,0.0003622803700687
368,1860,7765400.0,0.0003617971859303
369,5101,3328700.0,0.0003613158004765
370,6141,3509900.0,0.0003599402564377
371,9401,3368800.0,0.0003593565957797
372,4681,2611800.0,0.0003577182314463
373,8012,3062900.0,0.0003565670858007
374,4208,2824700.0,0.0003556521049433
375,4887,1284900.0,0.0003494781388306
376,7988,2042500.0,0.0003487571348643
377,6952,4100800.0,0.0003470327084697
378,2201,1372700.0,0.0003467821104867
379,8359,12947400.0,0.0003460898480012
380,7780,1984400.0,0.000345281139425
381,9449,2103200.0,0.0003448040883014
382,8253,3758500.0,0.0003434166966769
383,3994,1219400.0,0.0003411824868465
384,7337,8506500.0,0.0003410738787736
385,4530,1510200.0,0.0003371887200631
386,8174,2929200.0,0.0003369777118773
387,5706,1633200.0,0.0003366013371272
388,2501,1996000.0,0.0003365788535699
389,5301,4986300.0,0.0003350836220607
390,6925,3056500.0,0.000325088475449
391,9301,1726900.0,0.0003240963884808
392,5463,1862000.0,0.0003225883350985
393,7205,7641200.0,0.0003216503210858
394,7846,979800.0,0.0003212619301234
395,6473,5653100.0,0.0003202259190277
396,4118,1464200.0,0.0003186879999868
397,5901,3597300.0,0.000316780395054
398,8233,4278100.0,0.0003155464911811
399,2670,940900.0,0.0003149711556847
400,9601,379600.0,0.0003148377532444
401,4272,4427400.0,0.0003135626607435
402,4114,956000.0,0.0003128611987358
403,9793,1065800.0,0.000312517137854
404,5857,2422900.0,0.0003124770109496
405,9861,2103500.0,0.0003103022576375
406,9616,1043100.0,0.0003094440102898
